Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
New Caledonia,NCL,1996,,,33.369,,,,,,,,,,,,,,,,,,,,,,2.65,74.2,69.9,92.029,157.674,,,,,,,,,,,,,,54.74286,,,45.02551,84.1790224,73.3632168,,
Niger,NER,1978,,,223.6654,,,,,,,,,,,,,,,,,,,,,,7.775,38.601,37.4,404.487,447.984,,,32.15449142,37.87568,65.02335,13.00903,11.95312,1.512390018,1.39112,4.158629894,3.78873,0.051569998,0.311830014,28.77195,28.47914,21.26910019,24.5828,31.7180082,28.4993722,,
Norway,NOR,1971,,,33.004,,,,,,,,,,,,,,,,,,,,,,2.49,77.36,71.15,75.432,154.287,,,60.57424164,,,0,0,83.0714035,,83.94049835,,9.856399536,21.35852051,49.25692,48.56568,32.90314102,45.71414,86.9970446,75.029481,,
Norway,NOR,1993,98.85083,98.49425,15.162,99.4,1739,2396,,,,,,,,,,,,,,,,,,,1.86,80.23,74.22,62.846,115.746,,,,,,0,0,111.5465088,90.80926,114.3235931,90.48536,54.88734818,45.65351868,51.37319,48.26812,,42.56632,89.456164,81.126206,,
Peru,PER,2004,,,71.5258,71.1,,,,,,,,,57.77415848,65.71243286,61.67876816,11.75914955,13.29265022,12.51344013,11.75914955,13.29265022,12.51344013,43.31404877,50.35158157,46.77561188,2.706,74.913,70.248,111.738,176.504,84.94515228,86.16165161,64.03553772,96.92163,99.73863,7.3831,7.82639,81.30155945,66.17207,82.2191391,65.89962,33.06874084,31.94149017,48.18547,48.68798,43.63034058,67.72317,81.411512,73.1285998,,
Papua New Guinea,PNG,1962,,,93.855,,,,,,,,,,,,,,,,,,,,,,6.278,40.861,39.584,506.84,593.115,,,,,,,,,,,,,,,,,,28.224367,21.178443,,
Papua New Guinea,PNG,1973,,,96.6806,,,,,,,,,,,,,,,,,,,,,,6.077,49.054,47.269,393.943,479.584,,,,,,,,,,,,,,31.59017,,,,40.5274844,32.5184506,,
Portugal,PRT,2010,,,13.3428,,,,,,,14.44890976,10.62654018,12.66298008,41.07654953,41.56024933,41.30255127,14.91160011,11.15219975,13.15509033,14.44890976,10.62654018,12.66298008,26.9902401,24.00470924,25.59531021,1.39,82.1,76.1,50.999,121.293,,,79.68966675,,,,,108.2626724,,105.3109207,,71.16143799,60.23138046,52.03393,49.51699,69.1678009,42.13021,92.3422954,82.5316416,,
Paraguay,PRY,1962,,,101.924,,,,,,,,,,,,,,,,,,,,,,6.472,66.263,62.301,161.082,214.421,,,,,,,,,,,,,,,,,,70.201412,62.134516,,
Paraguay,PRY,1968,,,99.9726,,,,,,,,,,,,,,,,,,,,,,6.041,67.063,63.16,155.993,208.751,,,,,,,,,,,,,,,,,,71.2692794,63.284856,,
Post-demographic dividend,PST,2014,96.15748,95.83236,14.93551248,,600072,739821,,,,,,,,,,,,,,,,,,,1.633141458,83.29897685,77.90643466,56.85277999,102.0998179,94.72389,94.244,83.06752,97.277,97.90123,1.19424,1.60118,105.5654,89.9234,105.3517,88.58304,84.8243103,69.81768036,49.70338,48.72777,60.41036,43.53338,90.68083823,83.16267954,,
French Polynesia,PYF,2017,,,38.688,,,,,,,,,,,,,,,,,,,,,,1.956,79.539,75.171,73.305,125.66,,,,,,,,,,,,,,,,,,88.329355,81.309135,,
South Asia,SAS,1966,,,116.2985154,,,,,,,,,,,,,,,,,,,,,,5.964457934,45.19247215,46.45526605,403.5786127,393.3150151,,,,,,,,,,,,,,,,,,36.27584273,37.42087345,,
South Asia,SAS,2004,,,59.91610805,,12400000,10200000,,,,,,,,,,,,,,,,,,,3.210025974,65.31566085,63.5381329,176.1886061,228.9726379,68.64978,65.25683,43.30455,86.19562,89.37663,4.4383,4.5151,43.25929,40.04722,52.03197,46.72312,7.473849773,11.20361996,43.44216,43.21182,34.08691,22.02491,67.69821544,62.17911082,,
Saudi Arabia,SAU,1978,,,123.6648,,,,,,,,,,,,,,,,,,,,,,7.281,62.858,59.555,194.381,252.068,,,,,,,,,,,,2.708420038,8.71601963,,,,,64.9649752,57.47665,,
Sub-Saharan Africa,SSF,1981,,,151.6183831,,15400000,13300000,,,,,,,,,,,,,,,,,,,6.756637957,50.26360978,47.3163664,335.3890857,398.187009,63.9411,66.05573,36.41584,56.90433,55.00859,10.75367,11.10638,15.57495,,24.00919,,1.623450041,2.948529959,40.02603,39.18542,32.97172,30.87967,45.66192493,39.37494127,,
Suriname,SUR,1979,,,108.432,,,,,,,,,,,,,,,,,,,,,,4.015,67.939,62.854,170.463,252.769,,,76.33638,,,23.40934,27.96269,52.6227684,,47.14196014,,,,55.35689,52.15582,54.31172943,36.17503,70.7159854,60.1769284,,
Sweden,SWE,1966,,,42.7592,,,,,,,,,,,,,,,,,,,,,,2.37,76.45,71.82,84.087,138.838,,,,,,,,,,,,,,,,,,85.4324326,76.6983732,,
Sweden,SWE,2004,96.60129,97.15843,6.2394,,11246,9393,,,,,,,89.03955078,87.81304932,88.42310333,34.32717896,29.43350029,31.86758995,30.23513985,22.86552048,26.53112984,79.85900116,76.65722656,78.24977875,1.75,82.7,78.4,50.547,81.84,98.89669037,99.10215759,80.78449249,,,0,0,104.9523163,100,101.7186584,97.50517,102.0607376,66.26701355,47.9201,49.46235,57.07374954,53.6194,91.6095798,87.021606,,
Eswatini,SWZ,2017,82.46771,82.71865,76.695,,17972,17918,,,,,,,,,,,,,,,,,,,3.018,62.753,54.329,350.238,486.09,,,68.33557129,,,11.03557,15.64483,,,,,,,49.99411,,,,59.099824,38.923933,88.00196838,87.08879089
Tajikistan,TJK,2012,,,50.428,87.4,,,,,,,,,,,,,,,,,,,,,3.608,71.773,67.131,109.011,167.554,,,75.44358826,,,0.22303,0.20275,82.35675049,,91.54164124,,15.56074047,29.69199944,46.42477,46.23202,,32.93524,78.809672,68.603619,93.80493927,94.24491119
Timor-Leste,TLS,1992,,,58.565,,,,,,,,,,,,,,,,,,,,,,5.556,51.823,48.789,339.532,397.915,,,,,,,,,,,,,,,,,,46.18919,39.573328,,
Tonga,TON,2007,,,18.985,98,,,,,,,,,,,,,,,,,,,,,4.059,71.696,68.041,113.619,180.531,,,70.82707214,,,,,86.0859375,,119.0084915,,,,,40.39781,54.27698898,,77.971063,66.226522,,
Tonga,TON,2009,,,18.0318,98.1,,,,,,,,,,,,,,,,,,,,,3.963,71.931,68.023,110.223,177.438,,,69.55882263,,,,,115.764328,,90.1592865,,,,,54.49032,54.33230972,,78.3629274,66.7095048,,
Turkey,TUR,2000,,,49.0298,,,,,,,,,,,,,,,,,,,,,,2.503,73.784,66.39,100.226,191.211,,,,,,,,61.68236923,56.75201,85.28986359,72.01984,,,44.04297,41.49765,,31.29312,81.7410898,69.3126564,,
Turkey,TUR,2014,94.16511,95.23614,29.3694,97.4,149901,127425,0.274789989,0.428409994,0.35078001,,,,44.24388123,65.92519379,54.96775818,13.22986984,18.48336029,15.82831955,13.22986984,18.48336029,15.82831955,28.54058075,42.08010864,35.23741913,2.109,79.209,73.075,72.93,142.472,87.72540283,88.23944855,58.16830826,99.35761,99.69122,2.01788,1.68083,101.4412537,86.51644,104.2499924,88.34033,,,49.30484,48.41458,49.39162827,45.44524,88.4156952,79.6150844,,
Tuvalu,TUV,2016,84.26813,91.32124,,,113,65,,,,,,,,,,,,,,,,,,,,,,,,,,81.81817627,,,0.16077,0,76.78340149,63.42412,65.55555725,53.82716,,,52.5299,52.71594,55.97014999,58.33333,,,74.6031723,85.7142868
Tanzania,TZA,2003,81.01993,82.304,134.03,,645320,610746,,,,,,,,,,,,,,,,,,,5.659,54.552,51.181,398.814,459.797,81.27591705,78.88678741,46.03173065,27.68347,28.29051,,,,,,,0.582740009,1.305799961,45.69898,,,,46.0493402,38.186915,,
Ukraine,UKR,1963,,,29.1688,,,,,,,,,,,,,,,,,,,,,,2.06,72.41,66.646,111.624,211.455,,,,,,,,,,,,,,,,,,79.6961976,66.1096622,,
St. Vincent and the Grenadines,VCT,1980,,,119.153,,,,,,,,,,,,9.600000381,,,1.399999976,,,,,,,3.985,69.091,65.899,158.148,207.226,,,,,,,,,,,,3.860929966,1.142629981,,,,,74.1406898,66.3023502,,
Aruba,ABW,2000,97.99226,98.48592,43.593,,76,58,,,,,,,52.93072891,59.47880173,55.99243164,14.74586964,18.27305031,16.39508057,14.74586964,18.27305031,16.39508057,,,,1.872,76.257,71.312,86.589,138.363,,,77.77777863,,,5.64194,9.43079,98.11321259,78.86792,94.93946075,74.82148,35.65573883,23.54055977,53.6171,50.50178,49.38272095,33.12034,85.0737252,76.2739242,100,100
United Arab Emirates,ARE,2005,,,28.1738,,,,,,,,,,70.86335754,60.07244873,62.70005035,31.16257095,19.82382011,22.58481979,25.07185936,15.66656971,17.95676994,59.85364914,43.00297928,47.10615158,2.161,76.818,74.601,70.541,97.245,98.85410309,97.06964111,84.42191315,99.74306,100,1.52612,2.18159,,,,,,,,,,,84.9645052,81.1164016,58.35792923,68.67559814
Austria,AUT,1966,,,59.2202,,,,,,,,,,,,,,,,,,,,,,2.66,73.37,66.88,108.337,201.344,,,,,,,,,,,,,,,,,,80.7883642,66.4220698,,
Burkina Faso,BFA,1963,,,180,,,,,,,,,,,,,,,,,,,,,,6.377,36.986,34.826,446.67,524.746,,,,,,,,,,,,,,,,,,28.5550452,23.1514504,,
"Bahamas, The",BHS,1971,,,82.6738,,,,,,,,,,,,,,,,,,,,,,3.508,68.732,63.359,187.349,275.332,,,68.88259888,,,,,,,,,,,,,,,70.44853,56.4415574,,
Bosnia and Herzegovina,BIH,1978,,,43.009,,,,,,,,,,,,,,,,,,,,,,2.243,72.395,67.266,113.709,202.316,,,,,,,,,,,,,,,,,,79.0063544,67.2234398,,
Brunei Darussalam,BRN,1994,95.21316,93.68901,34.511,98.2,850,1203,,,,,,,,,,,,,,,,,,,2.897,72.84,69.879,101.886,138.663,,,60.10100937,,,,,79.04421997,69.57298,73.63034821,63.43808,6.620830059,4.661290169,51.27715,50.62216,43.34852982,42.49186,79.6761194,72.2373178,,
Central Europe and the Baltics,CEB,1975,,,48.58332934,,,,,,,,,,,,,,,,,,,,,,2.338123942,73.52518651,67.0006537,106.4594538,214.0902992,,,,,,,,81.02115,,80.7222,,14.36188984,13.52960014,52.19708,48.95926,,43.26658,80.99379602,66.05508379,,
Switzerland,CHE,1980,,,9.8498,,,,,,,,,,16.20682907,22.94650078,19.43868065,5.088970184,16.95611,10.77956963,,,,,,,1.55,78.85,72.23,73.258,145.031,40.99264145,35.03578949,,,,1.69636,2.27257,89.22960663,,99.71282959,,10.36851978,25.56829071,49.39281,46.31774,40.00194168,40.48105,88.1352242,76.8581036,,
Cote d'Ivoire,CIV,1984,,,183.2538,,,,,,,,,,,,,,,,,,,,,,7.176,54.65,50.939,297.508,360.719,62.72975159,71.61134338,18.01074028,42.54663,54.46426,25.62467,25.95041,11.67652988,,26.96030998,,,,28.49716,29.84285,,44.20051,51.2689732,44.0398388,,
Cameroon,CMR,1998,,,159.5584,55,,,,,,,,,,,,,,,,,,,,,5.718,52.551,49.266,395.723,428.301,,,34.05997086,,,,,20.8512001,,28.68832016,,,,42.41514,41.85984,21.55554008,39.50395,47.0613594,39.7504884,,
Colombia,COL,2001,91.65179,92.38978,96.6012,93.1,180420,171461,,,,,,,,,,,,,,,,,,,2.516,76.544,69.931,109.426,226.392,,,77.01512146,,,5.88659,7.31691,,,,,26.38031006,24.32348061,51.5785,,50.58670044,,83.0168362,71.6179938,,
Cuba,CUB,1986,90.29418,90.61855,85.722,,50630,51352,,,,,,,,,,,,,,,,,,,1.839,76.428,72.823,105.775,147.419,,,76.9786377,,,,,85.51879883,70.83282,81.41127777,64.60361,21.71310043,18.43988037,51.69534,50.62509,48.12015152,48.1482,82.7272572,76.7257122,,
Curacao,CUW,2016,,,29.3708,,,,,,,,,,,,,,,,,,,,,,1.7,81.1,74.5,64.842,133.832,,,,,,,,,,,,,,,,,,89.0381828,80.0521968,,
Dominica,DMA,2007,83.13332,83.04798,,94,773,802,,,,,,,,,,,,,,,,,,,,,,,,88.60070801,89.33881378,84.36873627,97.5976,96.56716,2.74529,6.21913,99.78655243,,91.96164703,,,,49.14737,49.99332,65.24520111,72.76119,,,64.608078,42.30768967
East Asia & Pacific (excluding high income),EAP,1991,,,28.2435878,,5574630,1821794,,,,,,,,,,,,,,,,,,,2.442449178,70.17794094,66.06015035,125.0271772,173.4630031,,,48.46899,,,,,35.98313,,44.83065,,4.312580109,6.105510235,43.84246,43.29891,36.2114,38.90129,76.45709888,68.78354126,,
Europe & Central Asia,ECS,1981,,,37.29450325,,2020124,1547113,,,,,,,,,,,,,,,,,,,2.132954147,74.48195281,66.62033434,107.3222845,236.8943409,,,76.89264,,,,,86.77803,,87.43698,,27.88466072,27.85676956,49.70372,48.83079,,45.72841,81.63075015,65.24757448,,
Euro area,EMU,1996,,,11.19673005,,195240,198881,,,,,,,,,,,,,,,,,,,1.396218991,80.74568958,73.86627912,65.11923513,141.5249192,96.45981,94.66592,79.93342,95.9053,95.62015,2.41478,3.72601,106.5092,89.80216,105.4327,88.13118,47.74401093,44.07814026,50.6091,49.08289,56.43823,45.74448,89.7534766,78.8136031,,
Eritrea,ERI,2000,49.63367,56.8388,88.595,,92072,79780,,,,,,,,,,,,,,,,,,,5.321,57.195,53.427,336.885,404.025,60.15010071,60.87622833,37.40568161,84.77524,87.60447,19.97668,18.89372,28.51927948,24.75044,40.55329132,30.50708,0.556599975,3.37322998,41.34371,41.14075,11.55537987,19.66825,51.8769808,44.0057466,62.06008911,77.89176941
Spain,ESP,1973,96.89661,94.11995,18.8192,,49450,98210,,,,,,,,,,,,,,,,,,,2.84,75.52,69.84,88.875,162.687,,,,,,,,54.68383026,48.32861,62.88280106,55.80814,8.802659988,19.33370972,47.3164,45.53382,,34.91223,84.652176,73.5268442,,
Estonia,EST,1990,,,46.0602,,,,,,,,,,,,,,,,,,,,,,2.05,74.7,64.5,106.786,300.013,,,,,,,,,,,,,,51.83653,,,,80.7287174,55.9405468,,
Ethiopia,ETH,1981,,,121.5496,,,,,,,,,,,,,,,,,,,,,,7.36,45.175,42.237,384.736,441.945,50.6346283,47.85955048,21.89543915,,,,,,,,,,,35.55012,,,,38.0555578,32.58314,,
France,FRA,2011,99.40517,98.68595,6.768,96.2,1185,8639,,,,,,,77.19809723,82.72119141,79.81372833,25.50939941,24.90457916,25.22296906,25.37321091,24.82863998,25.11531067,59.70383072,66.18158722,62.7715683,2.01,85.7,78.7,52.553,112.591,,,82.71779633,,,,,107.0882797,93.70787,106.1557999,92.06445,61.97702026,49.47343063,50.38188,48.99604,59.44747162,43.45315,92.0279596,83.5248854,,
Guinea,GIN,2016,70.62254,85.44414,137.4098,62.7,283090,142323,,,,,,,,,,,,,,,,,,,4.854,60.585,59.546,243.289,269.7,,,30.59448051,,,12.00731,11.33928,,,,,,,38.42909,,,,60.6846522,56.9105394,86.0166626,70.66381073
Equatorial Guinea,GNQ,1990,,,192.812,,,,,,,,,,,,,,,,,,,,,,5.987,50.287,47.31,335.982,392.973,,,,,,,,,,,,,,,,,29.6875,45.5058452,39.5850168,,
Guam,GUM,1969,,,92.4534,,,,,,,,,,,,,,,,,,,,,,4.526,67.769,63.235,173.953,234.925,,,,,,,,,,,,,,,,,,71.1119652,61.8840554,,
Indonesia,IDN,2001,95.43455,96.84744,51.1856,,587215,418627,,,,,,,,,,,,,,,,,,,2.509,67.51,64.554,167.488,215.356,88.71967316,83.30077362,52.2375412,79.19007,77.55149,6.15778,6.17471,55.01868057,49.27326,56.04655075,49.89734,12.31566048,16.0033493,49.61616,48.7841,40.14101028,43.23652,70.9482826,64.3274384,,
Indonesia,IDN,2015,,,48.6144,,,,0.02043,0.04403,0.032129999,8.065719604,8.907219887,8.483010292,44.46583939,53.21025085,48.80207062,8.898550034,9.5999403,9.246359825,8.898550034,9.5999403,9.246359825,28.52519035,36.06084824,32.26202011,2.389,72.992,68.651,145.664,205.464,,,,,,1.14939,2.09589,86.28914642,76.28108,85.96482086,75.28854,35.04788971,31.51226997,50.0869,48.78793,,42.75921,78.4965978,70.373464,,
Iraq,IRQ,1997,,,64.822,,,,,,,,,,,,,,,,,,,,,,5.23,71.721,66.321,118.937,194.628,,,,,,,,,,,,,,,,,,78.536716,68.289331,,
Israel,ISR,2003,,,15.6492,,,,,,,,,,,,,,,,,,,,,,2.95,81.8,77.6,51.974,92.814,98.93773651,98.71205902,84.47821808,99.94744,100,0.99852,1.82208,105.421463,99.30306,107.8239899,100,65.6144104,49.60509109,49.87061,48.3458,71.29730988,41.66045,91.3403744,85.2341572,,
Italy,ITA,1995,,,6.954,,,,,,,,,,,,,,,,,,,,,,1.19,81.5,75,57.53,119.096,,,93.13082886,100,99.65113,0.40241,0.67759,88.51895142,,88.75547028,,44.2770195,38.7742691,50.21208,48.7551,61.27756882,46.83416,90.6711258,81.4215164,,
Kyrgyz Republic,KGZ,2007,95.6427,95.95731,29.746,98.4,7648,7158,,,,,,,,,,,,,,,,,,,2.7,72.3,63.7,139.762,302.716,98.38575745,98.31018066,97.38468933,99.70188,99.99814,0.07291,0.09627,86.31478119,80.67316,86.1361084,80.088,48.56710815,37.40443039,50.19173,49.46995,74.445961,32.6239,76.67689,56.703414,62.35961914,62.27273178
Kiribati,KIR,2019,,,14.6322,,,,,,,,,,,,,,,,,,,,,,3.53,72.342,64.248,151.167,232.65,,,,,,,,,,,,,,,,,,75.1791636,62.7758354,,
Liberia,LBR,1989,,,173.8244,,,,,,,,,,,,,,,,,,,,,,6.587,47.99,44.428,288.627,364.969,,,,,,,,,,,,,,,,,,45.6357896,38.7097496,,
Least developed countries: UN classification,LDC,2016,79.70334,83.26317,95.56186751,,13200000,11100000,,,,,,,,,,,,,,,,,,,4.116936121,66.20176167,62.53074231,192.8283222,244.0506513,56.66494,51.13496,46.20847,79.70665,80.11996,8.34234,8.50329,43.59204,36.67048,48.29499,39.29096,8.189709663,11.70993996,47.45715,46.97849,27.34392,37.92618,68.68502059,61.10971487,70.87494659,71.18663788
Low & middle income,LMY,1993,,,70.01277463,,61500000,40300000,,,,,,,,,,,,,,,,,,,3.270664295,65.65049041,61.65224984,173.998541,243.5102886,73.23066,73.09044,51.8402,78.62542,81.15688,6.2434,7.11023,43.39152,,53.21767,,7.689260006,9.409350395,43.93608,43.80884,47.8668,42.57236,69.42261571,60.66453983,,
Late-demographic dividend,LTE,1994,,,30.04666159,,7919283,4698605,,,,,,,,,,,,,,,,,,,1.936410685,72.29656081,66.49258852,116.102361,200.7116272,88.05217,86.53525,58.4699,84.80567,86.77788,,,60.27733,,63.40245,,8.911789894,9.599550247,47.73297,47.57184,54.45664,46.5461,79.08202858,68.27647813,,
Lithuania,LTU,1962,,,16.34,,,,,,,,,,,,,,,,,,,,,,2.45,72.44,65.91,115.255,228.488,,,,,,,,,,,,,,,,,,79.254406,65.338772,,
"Macao SAR, China",MAC,2018,96.42685,96.40487,2.3036,,456,446,,,,,,,,,,,,,,,,,,,1.217,87.051,81.149,24.487,58.271,99.7844162,97.77413177,82.23713684,,,1.29343,2.0788,100.9029465,88.4108,101.16185,84.55769,104.4609909,77.42852783,48.80025,48.2975,58.74586868,34.50855,96.024147,90.4792314,98.69422913,97.73300171
Middle East & North Africa,MEA,1982,,,100.0691511,,4972299,2363080,,,,,,,,,,,,,,,,,,,6.101309372,62.80629227,56.71258721,194.2797841,331.343029,79.3684,84.85935,47.88967,81.43792,83.26743,9.59866,13.07493,35.26385,33.09011,53.86475,44.08273,7.979430199,14.41963005,38.70131,38.34012,34.03613,35.5644,65.01164381,52.06432913,,
Mexico,MEX,2018,,,59.4542,,,,0.057969999,0.111489996,0.082970001,14.86437035,17.32987022,16.01605988,62.29301834,64.31154633,63.23591995,15.34175968,17.71335983,16.44959068,15.34175968,17.71335983,16.44959068,34.8026619,36.62654114,35.65462875,2.129,77.844,72.118,95.815,184.379,,,67.40760803,,,,,109.5876083,,100.7587128,,42.30899811,40.74708176,,,50.70687866,,84.1076902,73.315318,96.05371094,93.86650085
Mexico,MEX,1990,,,86.2706,83.8,,,,,,,,,29.70005989,35.81922913,32.63948822,6.44299984,12.11970043,9.169879913,,,,17.61467934,22.39550972,19.91122055,3.47,73.83,67.951,118.959,212.191,,,,,,,,55.30245972,,56.92118073,,,,47.46719,49.43689,,63.22022,78.947731,67.8985642,,
Middle income,MIC,1977,,,75.77158319,,59200000,31900000,,,,,,,,,,,,,,,,,,,4.356754289,61.3350282,58.01912086,205.9002833,262.8930126,66.42023,65.76912,43.62091,,,8.67406,10.62375,36.27669,,48.6829,,6.341370106,7.831170082,41.57266,41.67509,46.80428,42.91609,62.88055134,55.29367563,,
Mozambique,MOZ,1963,,,130.7442,,,,,,,,,,,,,,,,,,,,,,6.574,41.756,39.261,463.265,523.683,,,,,,,,,,,,,,,,,,34.4209492,29.6696512,,
Niger,NER,1981,,,226.8766,,,,,,,,,,,,,,,,,,,,,,7.868,40.052,38.829,375.576,415.915,,,30.31896019,,,13.99906,14.53087,2.456399918,1.99391,6.713490009,5.19651,0.109669998,0.656029999,29.48507,29.16549,20.79438972,24.20247,34.3411668,31.1556508,,
Nigeria,NGA,1990,,,148.0054,30.8,,,,,,,,,,,,,,,,,,,,,6.49,47.191,44.671,360.042,414.272,,,42.90737152,,,,,21.49621964,,27.85873985,,,,42.76031,42.87794,32.58945847,44.45659,41.2345604,35.6652428,,
Oman,OMN,1996,77.89322,78.67727,49.3438,,37534,37960,,,,,,,,,,,,,,,,,,,4.981,72.545,68.541,117.875,176.981,93.47094727,94.23297882,49.68553162,98.96578,99.16463,6.93386,9.57679,66.13295746,,70.25325775,,6.145679951,5.999579906,48.21012,47.76711,47.11487961,0,78.9051096,71.484906,,
Other small states,OSS,1966,,,96.95236855,,,,,,,,,,,,,,,,,,,,,,4.952511963,56.35514877,51.44548067,281.5476177,353.560663,,,,,,,,,,,,,,,,,,55.83617415,45.46926701,,
Philippines,PHL,1966,,,61.9008,,,,,,,,,,,,,,,,,,,,,,6.689,65.089,60.554,246.088,299.884,,,,,,,,,,,,,,,,,,68.812212,59.461311,,
Paraguay,PRY,1989,90.62521,91.0442,92.6782,,29076,28900,,,,,,,,,,,,,,,,,,,4.639,70.362,66.403,149.577,202.361,59.83420944,57.25143051,,,,7.91197,10.21875,31.04117966,,29.3449707,,,,51.09264,50.45486,,40.07778,74.4211538,66.8725904,,
Post-demographic dividend,PST,1994,,,27.52409447,,1459560,1552837,,,,,,,,,,,,,,,,,,,1.642118715,79.57355204,72.7268062,77.28309379,160.6612548,94.9821,94.14721,79.35597,96.96003,97.56197,1.3161,1.85084,101.0219,84.64188,100.4481,84.01073,53.74657059,49.82155991,49.62356,48.96977,54.01537,46.15471,87.61122454,76.3085292,,
Russian Federation,RUS,2006,93.57329,92.01692,29.237,99.5,170175,222621,,,,,,,,,,,,,,,,,,,1.305,73.34,60.43,157.269,427.15,,,98.46781921,,,,,82.05834198,,83.32820129,,84.37132263,61.61988831,50.80227,48.48776,80.46534729,37.14872,77.2577248,46.023527,,
Sierra Leone,SLE,1965,,,199.5224,,,,,,,,,,,,,,,,,,,,,,6.337,34.579,32.608,517.323,524.907,,,,,,,,,,,,,,,,,,26.15448,23.0215234,,
El Salvador,SLV,1964,,,142.6468,,,,,,,,,,,,,,,,,,,,,,6.606,54.777,50.075,250.514,333.863,,,,,,,,,,,,,,,,,,53.2062236,44.1361984,,
El Salvador,SLV,1996,,,96.3696,,,,,,,,,,,,,,,,,,,,,,3.482,72.143,63.225,142.359,313.213,,,,,,4.67943,5.51564,,,,,20.7005806,21.58987999,,,,,76.795721,58.5800486,,
Serbia,SRB,1980,,,56.2082,,,,,,,,,,,,,,,,,,,,,,,,,114.202,194.695,,,,,,,,,,,,,,,,,,79.4266954,67.3175134,,
Sub-Saharan Africa,SSF,1964,,,153.9956898,,,,,,,,,,,,,,,,,,,,,,6.659067775,43.54491916,40.6928645,402.4348572,461.0505106,,,,,,,,,,,,,,,,,,36.26877528,30.64518212,,
Sub-Saharan Africa,SSF,1973,,,155.129829,,,,,,,,,,,,,,,,,,,,,,6.785641718,47.2589803,44.33485694,363.1010016,423.9950787,62.55056,64.83364,34.14461,,59.52645,11.72375,12.58842,11.31797,,16.4058,,1.172330022,1.809139967,41.38375,40.64145,,31.51811,41.43522237,35.45501439,,
Sub-Saharan Africa,SSF,2004,,,123.5986097,,20300000,16800000,,,,,,,,,,,,,,,,,,,5.567295585,53.70852534,50.78309108,362.8154771,414.4434176,61.1509,62.83339,44.61619,70.43929,71.0533,10.50007,10.56039,27.25732,22.38181,34.90022,26.82885,4.817800045,6.939370155,44.13449,43.62007,30.03305,36.51473,47.67202693,41.13769456,77.82298279,69.23564911
Suriname,SUR,1969,,,142.9558,,,,,,,,,,,,,,,,,,,,,,5.79,64.779,60.562,207.061,275.02,,,,,,,,,,,,,,,,,,65.3777648,56.7983646,,
